NAICSCode,ProjectCountyName,JobsReported,CurrentApprovalAmount,ForgivenessAmount,PAYROLL_PROCEED
332312.0,18,396,4425286.0,2732811.21,4205874.0
332313.0,10,140,1702501.9300000002,788246.83,1579699.9300000002
332321.0,1,17,192600.0,194124.97,149600.0
332322.0,18,576,7961091.97,3090901.3,7709902.97
332323.0,7,26,217952.0,110613.84,208320.0
332410.0,5,249,4455742.0,1608153.74,4253431.0
332420.0,5,137,1974411.0,449292.7,1958639.0
332431.0,2,2,16513.120000000003,0.0,15409.12
332439.0,2,48,467374.0,145272.04,467374.0
332510.0,3,128,1145280.93,0.0,1145278.93
332613.0,3,22,267689.0,194303.16,253115.0
332618.0,6,425,4634742.0,2005530.69,4481078.0
332710.0,84,1383,16343181.36,5853236.93,15568014.36
332721.0,8,182,2365109.0,1047928.43,2158878.0
332722.0,1,53,726602.0,0.0,726596.0
332811.0,6,38,414944.68000000005,129031.97,408890.68000000005
332812.0,8,175,1401225.0,433388.77,1322905.0
332813.0,7,55,623450.0,143929.34,623444.0
332911.0,3,20,521905.0,23050.76,521903.0
332912.0,2,133,1885732.0,0.0,1885726.0
332913.0,4,10,186966.0,0.0,162073.0
332919.0,3,85,237854.0,176915.54,194149.0
332994.0,2,18,194497.0,195963.18,175747.0
332996.0,2,73,913100.0,921340.1699999999,913100.0
332999.0,33,562,6598884.25,3060440.48,6489011.25
333111.0,2,52,307744.0,302394.63,294120.0
333112.0,15,30,305905.0,112576.49,304144.0
333120.0,9,119,2239598.5,200872.34999999998,2239581.5
333131.0,1,7,73300.0,66712.33,51399.0
333132.0,2,15,144100.0,124198.57,119796.0
333241.0,7,183,2141569.0,1058969.76,1992732.0
333243.0,1,1,4500.0,4538.96,3375.0
333244.0,2,59,906237.0,0.0,906235.0
333249.0,21,684,10384673.18,2917766.1700000004,10106769.18
333318.0,12,102,1101036.82,819787.1799999999,1087122.82
333413.0,6,72,886005.0,385081.26,878101.0
333414.0,1,13,150000.0,150982.19,150000.0
333415.0,3,125,1448472.0,1458564.8399999999,1128652.0
333511.0,4,37,503673.0,192916.58,455794.0
333514.0,7,122,1404572.0,1093452.97,1233112.0
333515.0,3,191,2115600.0,1197966.79,1819196.0
333517.0,7,155,2495214.0,23837.01,1967220.0
333519.0,1,8,71700.0,72436.64,71700.0
333611.0,2,5,54780.0,50505.56,54776.0
333612.0,3,34,482880.31999999995,0.0,479947.31999999995
333912.0,4,41,440309.0,351122.16000000003,412782.0
333914.0,2,44,731815.0,728104.14,729590.0
333923.0,1,14,213202.0,0.0,213200.0
333924.0,2,2,28522.0,0.0,28514.0
333991.0,6,340,4541897.0,1173783.31,3524236.0
333992.0,5,20,200387.0,103973.28,185786.0
333994.0,1,75,1614162.0,0.0,1614160.0
333995.0,1,22,200580.0,0.0,200574.0
333997.0,2,65,639654.0,69723.56,639652.0
333999.0,12,382,5240644.15,1350358.1700000002,4915810.15
334111.0,1,25,457522.5,461370.7,457522.5
334112.0,2,124,1832637.0,0.0,1832635.0
334118.0,7,126,1937969.0,1875694.45,1933340.0
334220.0,9,103,1471825.0,940629.85,1411311.0
334290.0,2,8,104215.0,94480.13,101590.0
334310.0,6,183,1665647.0,67605.66,1665631.0
334412.0,1,71,704100.0,709380.75,704100.0
