,NAICSCode, ProjectCountyName , JobsReported , CurrentApprovalAmount , ForgivenessAmount ,business_type,% of loan forgiven
630,541618, 148 , 463 ," 5,146,934 "," 2,591,979 ",Other Management Consulting Services,50%
316,336413, 4 , 459 ," 5,540,615 "," 906,257 ",Other Aircraft Parts and Auxiliary Equipment Manufacturing,16%
99,311612, 3 , 453 ," 4,855,603 ", -   ,Meat Processed from Carcasses,0%
746,711110, 27 , 453 ," 2,154,862 "," 303,985 ",Theater Companies and Dinner Theaters,14%
504,485999, 82 , 446 ," 3,124,554 "," 939,520 ",All Other Transit and Ground Passenger Transportation,30%
389,424410, 16 , 435 ," 3,582,552 "," 3,043,133 ",General Line Grocery Merchant Wholesalers,85%
278,334416, 6 , 430 ," 3,540,609 "," 623,645 ","Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing",18%
432,444220, 33 , 429 ," 2,729,180 "," 1,772,778 ","Nursery, Garden Center, and Farm Supply Stores",65%
225,332618, 6 , 425 ," 4,634,742 "," 2,005,531 ",Other Fabricated Wire Product Manufacturing,43%
97,311520, 2 , 422 ," 5,184,170 ", -   ,Ice Cream and Frozen Dessert Manufacturing,0%
554,522298, 10 , 419 ," 5,133,442 "," 82,133 ",All Other Nondepository Credit Intermediation,2%
632,541690, 57 , 418 ," 6,956,943 "," 3,437,788 ",Other Scientific and Technical Consulting Services,49%
551,522291, 5 , 412 ," 1,966,792 "," 174,897 ",Consumer Lending,9%
456,448310, 62 , 408 ," 3,924,645 "," 649,866 ",Jewelry Stores,17%
86,311119, 3 , 402 ," 4,279,435 "," 97,747 ",Other Animal Food Manufacturing,2%
458,451110, 52 , 402 ," 2,678,195 "," 1,452,571 ",Sporting Goods Stores,54%
415,441120, 79 , 398 ," 4,124,015 "," 1,417,762 ",Used Car Dealers,34%
214,332312, 18 , 396 ," 4,425,286 "," 2,732,811 ",Fabricated Structural Metal Manufacturing,62%
778,722330, 61 , 394 ," 3,075,970 "," 134,168 ",Mobile Food Services,4%
703,611610, 54 , 391 ," 1,021,760 "," 395,429 ",Fine Arts Schools,39%
675,561621, 38 , 389 ," 4,477,727 "," 2,709,885 ",Security Systems Services (except Locksmiths),61%
601,532412, 16 , 388 ," 5,703,653 "," 116,233 ","Construction, Mining, and Forestry Machinery and Equipment Rental and Leasing",2%
92,311352, 4 , 387 ," 3,386,551 "," 1,964,788 ",Confectionery Manufacturing from Purchased Chocolate,58%
148,322212, 3 , 385 ," 3,868,602 "," 478,855 ",Folding Paperboard Box Manufacturing,12%
82,238390, 50 , 384 ," 4,558,188 "," 2,761,885 ",Other Building Finishing Contractors,61%
740,624210, 16 , 384 ," 1,722,361 "," 1,389,087 ",Community Food Services,81%
379,423930, 25 , 383 ," 3,859,952 "," 2,628,129 ",Recyclable Material Merchant Wholesalers,68%
269,333999, 12 , 382 ," 5,240,644 "," 1,350,358 ",All Other Miscellaneous General Purpose Machinery Manufacturing,26%
624,541513, 12 , 381 ," 3,140,982 "," 268,699 ",Computer Facilities Management Services,9%
65,237990, 27 , 380 ," 7,027,941 "," 2,787,778 ",Other Heavy and Civil Engineering Construction,40%
